URI_Name,Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Tipo,Regimen Escolar
COLEGIODEBACHILLERATOLICEODELOJAPARTICULAR,Loja_Province,LOJA,SANSEBASTIAN,-4,30026386360,-79,204220817000,COLEGIO DE BACHILLERATO LICEO DE LOJA PARTICULAR,NO HAY  NO HAY 
COLEGIODEBACHILLERATOMACARA,Loja_Province,MACARA,GENERALELOYALFARO(SANSEBASTIAN),-4,371474135700,-79,937308183800,COLEGIO DE BACHILLERATO MACARA,AV PANAMERICANA NORTE 01-03 VIA CARIAMANGA 
COLEGIODEBACHILLERATOMANGAHURCO,Loja_Province,ZAPOTILLO,CAZADEROS(CAB.ENMANGAURCO),-4,155613744900,-80,430775981800,COLEGIO DE BACHILLERATO MANGAHURCO,   RECINTO MANGAHURCO
COLEGIODEBACHILLERATOMANUELBENJAMINCARRION,Loja_Province,LOJA,YANGANA(ARSENIOCASTILLO),-4,363137934710,-79,177362611700,COLEGIO DE BACHILLERATO MANUEL BENJAMIN CARRION,   CENTRO DE YANGANA
COLEGIODEBACHILLERATOMANUELCARRIONPINZANO,Loja_Province,PUYANGO,VICENTINO,-3,962670273450,-79,942585323500,COLEGIO DE BACHILLERATO MANUEL CARRION PINZANO,   ANGEL LIMA ENTRE MANUEL RAMIREZ Y MIGUEL CALLE
COLEGIODEBACHILLERATOMANUELENRIQUERENGEL,Loja_Province,LOJA,ELSAGRARIO,-3,991479379610,-79,204638138300,COLEGIO DE BACHILLERATO MANUEL ENRIQUE RENGEL,AV. UNIVERSITARIA  JUAN DE SALINAS ENTRE  DIECIOCHO DE NOVIEMBRE Y AVENIDA UNIVERSIARIA 
COLEGIODEBACHILLERATOMARCOSOCHOAMUnOZ,Loja_Province,PUYANGO,CIANO,-3,945805345540,-79,997276187200,COLEGIO DE BACHILLERATO MARCOS OCHOA MU�OZ,   UBICADO EN EL BARRIO LAS COCHAS PARROQUIA CIANO
COLEGIODEBACHILLERATOMATILDEHIDALGODEPROCEL,Loja_Province,CHAGUARPAMBA,SANTARUFINA,-3,851082572380,-79,765224552200,COLEGIO DE BACHILLERATO MATILDE HIDALGO DE PROCEL,   ACCESO POR EL PUENTE DEL R�O PINDO
COLEGIODEBACHILLERATOMONSLEONIDASPROAnOVILLALBA,Loja_Province,CATAMAYO,ELTAMBO,-4,71662614330,-79,306391710600,COLEGIO DE BACHILLERATO MONS LEONIDAS PROA�O VILLALBA,   PARROQUIA EL TAMBO
COLEGIODEBACHILLERATOPARTICULARANTONIOPEnACELI,Loja_Province,LOJA,VALLE,-3,994387517180,-79,203029093000,COLEGIO DE BACHILLERATO PARTICULAR  ANTONIO PE�A CELI,BARRIO COLINAS DE BELEN  COLINAS DE BELEN 
COLEGIODEBACHILLERATOPARTICULARCORDILLERA,Loja_Province,LOJA,ELSAGRARIO,-3,996074172200,-79,201080540200,COLEGIO DE BACHILLERATO PARTICULAR CORDILLERA,BERNARDO VALDIVIESO 06-34 JOS� ANTONIO EGUIGUREN 
COLEGIODEBACHILLERATOPARTICULARDRJOSEMARIAVIVARCASTRO,Loja_Province,LOJA,SUCRE,-3,980536,-79,224648,COLEGIO DE BACHILLERATO PARTICULAR DR JOSE MARIA VIVAR CASTRO,BELEN BAJO  CHARITI Y PROLONGACION DE LA BUENA VENTURA 
COLEGIODEBACHILLERATOPARTICULAREUGENIOESPEJO,Loja_Province,LOJA,VALLE,-3,957447938720,-79,210807255900,COLEGIO DE BACHILLERATO PARTICULAR EUGENIO ESPEJO,AV. SALVADOR BUSTAMANTE CELI 00 S/N 
